rds_index,hourbin,ewt,count,daybin,date,rbt,speed
M4_2_0,0,2.55,2,1,11-10-2015,0.0,3.67
M4_1_0,1,2.55,2,1,11-10-2015,null,null
M4_2_0,1,2.55,2,1,11-10-2015,null,null
M4_1_0,0,-0.81,2,1,11-12-2015,6.22,4.57
M4_2_0,0,-0.81,2,1,11-12-2015,6.22,4.57
M4_1_0,1,-0.81,2,1,11-12-2015,null,null
M4_2_0,1,-0.81,2,1,11-12-2015,null,null
M4_1_0,0,-1.3,1,1,11-13-2015,0.0,null
M4_2_0,0,-1.3,1,1,11-13-2015,0.0,null
M4_1_0,1,-1.3,1,1,11-13-2015,null,null
M4_2_0,1,-1.3,1,1,11-13-2015,null,null
M4_1_0,0,0.46,2,1,11-16-2015,0.0,null
M4_2_0,0,0.46,2,1,11-16-2015,0.0,null
M4_1_0,1,0.46,2,1,11-16-2015,null,null
M4_2_0,1,0.46,2,1,11-16-2015,null,null
M4_1_0,0,3.66,3,1,11-17-2015,2.44,0.92
M4_2_0,0,3.66,3,1,11-17-2015,2.44,0.92
M4_1_0,1,3.66,3,1,11-17-2015,null,null
M4_2_0,1,3.66,3,1,11-17-2015,null,null
M4_1_0,0,4.29,1,1,11-18-2015,0.0,0.62
M4_2_0,0,4.29,1,1,11-18-2015,0.0,0.62
M4_1_0,1,4.29,1,1,11-18-2015,null,null
M4_2_0,1,4.29,1,1,11-18-2015,null,null
M4_1_0,0,1.27,3,1,11-19-2015,0.0,null
M4_2_0,0,1.27,3,1,11-19-2015,0.0,null
M4_1_0,1,1.27,3,1,11-19-2015,null,null
M4_2_0,1,1.27,3,1,11-19-2015,null,null
M4_1_0,0,0.78,1,1,11-20-2015,0.0,null
M4_2_0,0,0.78,1,1,11-20-2015,0.0,null
M4_1_0,1,0.78,1,1,11-20-2015,null,null
M4_2_0,1,0.78,1,1,11-20-2015,null,null
M4_1_0,0,-1.66,1,1,11-25-2015,0.0,2.35
M4_2_0,0,-1.66,1,1,11-25-2015,0.0,2.375
M4_1_0,1,-1.66,1,1,11-25-2015,null,null
M4_2_0,1,-1.66,1,1,11-25-2015,null,null
M4_1_0,0,0.15,1,1,11-27-2015,0.0,null
M4_2_0,0,0.15,1,1,11-27-2015,0.0,null
M4_1_0,1,0.15,1,1,11-27-2015,null,null
M4_2_0,1,0.15,1,1,11-27-2015,null,null
M4_1_0,0,4.47,4,1,11-30-2015,0.0,null
M4_2_0,0,4.47,4,1,11-30-2015,0.0,null
M4_1_0,1,4.47,4,1,11-30-2015,null,null
M4_2_0,1,4.47,4,1,11-30-2015,null,null
M4_1_0,0,-1.8,2,1,12-01-2015,0.0,null
M4_2_0,0,-1.8,2,1,12-01-2015,0.0,null
M4_1_0,1,-1.8,2,1,12-01-2015,null,null
M4_2_0,1,-1.8,2,1,12-01-2015,null,null
M4_1_0,0,-1.3,2,1,12-02-2015,0.0,null
M4_2_0,0,-1.3,2,1,12-02-2015,0.0,null
M4_1_0,1,-1.3,2,1,12-02-2015,null,null
M4_2_0,1,-1.3,2,1,12-02-2015,null,null
M4_1_0,0,-3.5,1,1,12-03-2015,0.0,null
M4_2_0,0,-3.5,1,1,12-03-2015,0.0,0.97
M4_1_0,1,-3.5,1,1,12-03-2015,null,null
M4_2_0,1,-3.5,1,1,12-03-2015,null,null
M4_1_0,0,5.89,3,1,12-04-2015,0.0,null
M4_2_0,0,5.89,3,1,12-04-2015,0.0,null
M4_1_0,1,5.89,3,1,12-04-2015,null,null
M4_2_0,1,5.89,3,1,12-04-2015,null,null
M4_1_0,0,-1.52,2,1,12-07-2015,0.0,0.18
M4_2_0,0,-1.52,2,1,12-07-2015,0.0,0.18
M4_1_0,1,-1.52,2,1,12-07-2015,null,null
M4_2_0,1,-1.52,2,1,12-07-2015,null,null
M4_1_0,0,0.82,2,1,12-08-2015,0.24,null
M4_2_0,0,0.82,2,1,12-08-2015,0.12,null
M4_1_0,1,0.82,2,1,12-08-2015,null,null
M4_2_0,1,0.82,2,1,12-08-2015,null,null
M4_1_0,0,2.95,1,1,12-09-2015,0.0,0.56
M4_2_0,0,2.95,1,1,12-09-2015,0.0,0.56
M4_1_0,1,2.95,1,1,12-09-2015,null,null
M4_2_0,1,2.95,1,1,12-09-2015,null,null
M4_1_0,0,1.26,3,1,12-10-2015,0.0,null
M4_2_0,0,1.26,3,1,12-10-2015,0.0,null
M4_1_0,1,1.26,3,1,12-10-2015,null,null
M4_2_0,1,1.26,3,1,12-10-2015,null,null
M4_1_0,0,2.05,2,1,12-15-2015,0.0,5.68
M4_2_0,0,2.05,2,1,12-15-2015,0.0,5.68
M4_1_0,1,2.05,2,1,12-15-2015,null,null
M4_2_0,1,2.05,2,1,12-15-2015,null,null
M4_1_0,0,1.35,1,1,12-16-2015,9.35,3.14
M4_2_0,0,1.35,1,1,12-16-2015,4.68,3.14
M4_1_0,1,1.35,1,1,12-16-2015,null,null
M4_2_0,1,1.35,1,1,12-16-2015,null,null
M4_1_0,0,-0.36,1,1,12-17-2015,0.0,null
M4_2_0,0,-0.36,1,1,12-17-2015,0.0,5.13
M4_1_0,1,-0.36,1,1,12-17-2015,null,null
M4_2_0,1,-0.36,1,1,12-17-2015,null,null
M4_1_0,0,7.04,1,1,12-18-2015,0.0,null
M4_2_0,0,7.04,1,1,12-18-2015,0.0,null
M4_1_0,1,7.04,1,1,12-18-2015,null,null
M4_2_0,1,7.04,1,1,12-18-2015,null,null
M4_1_0,0,1.08,3,1,12-21-2015,0.0,null
M4_2_0,0,1.08,3,1,12-21-2015,0.0,null
M4_1_0,1,1.08,3,1,12-21-2015,null,null
M4_2_0,1,1.08,3,1,12-21-2015,null,null
M4_1_0,0,1.93,2,1,12-22-2015,0.0,null
M4_2_0,0,1.93,2,1,12-22-2015,0.0,null
M4_1_0,1,1.93,2,1,12-22-2015,null,null
M4_2_0,1,1.93,2,1,12-22-2015,null,null
M4_1_0,0,1.95,1,1,12-23-2015,0.0,null
M4_2_0,0,1.95,1,1,12-23-2015,0.0,null
M4_1_0,1,1.95,1,1,12-23-2015,null,null
M4_2_0,1,1.95,1,1,12-23-2015,null,null
M4_0_0,0,2.0,1,1,12-24-2015,49.73,7.9975
M4_1_0,0,0.89,81,1,12-24-2015,100.41,6.0975
M4_2_0,0,0.91,82,1,12-24-2015,75.07,6.0225
M4_0_0,3,2.0,1,1,12-24-2015,null,null
M4_1_0,2,1.22,65,1,12-24-2015,null,null
M4_1_0,3,-1.7,16,1,12-24-2015,null,null
M4_2_0,2,1.22,65,1,12-24-2015,null,null
M4_2_0,3,-1.28,17,1,12-24-2015,null,null
M4_1_0,0,-1.01,1,1,12-28-2015,0.0,null
M4_2_0,0,-1.01,1,1,12-28-2015,0.0,null
M4_1_0,1,-1.01,1,1,12-28-2015,null,null
M4_2_0,1,-1.01,1,1,12-28-2015,null,null
M4_1_0,0,1.36,3,1,12-31-2015,0.0,0.37
M4_2_0,0,1.36,3,1,12-31-2015,0.0,0.37
M4_1_0,1,1.36,3,1,12-31-2015,null,null
M4_2_0,1,1.36,3,1,12-31-2015,null,null
M4_1_0,0,-0.23,5,1,01-04-2016,0.0,null
M4_2_0,0,-0.23,5,1,01-04-2016,0.0,null
M4_1_0,1,-0.23,5,1,01-04-2016,null,null
M4_2_0,1,-0.23,5,1,01-04-2016,null,null
M4_1_0,0,0.55,2,1,01-05-2016,0.0,null
M4_2_0,0,0.55,2,1,01-05-2016,0.0,null
M4_1_0,1,0.55,2,1,01-05-2016,null,null
M4_2_0,1,0.55,2,1,01-05-2016,null,null
M4_1_0,0,-2.89,1,1,01-06-2016,0.0,null
M4_2_0,0,-2.89,1,1,01-06-2016,0.0,null
M4_1_0,1,-2.89,1,1,01-06-2016,null,null
M4_2_0,1,-2.89,1,1,01-06-2016,null,null
M4_1_0,0,2.22,2,1,01-07-2016,2.46,6.48
M4_2_0,0,2.22,2,1,01-07-2016,2.46,6.48
M4_1_0,1,2.22,2,1,01-07-2016,null,null
M4_2_0,1,2.22,2,1,01-07-2016,null,null
M4_1_0,0,0.34,2,1,01-08-2016,0.0,null
M4_2_0,0,0.34,2,1,01-08-2016,0.0,null
M4_1_0,1,0.34,2,1,01-08-2016,null,null
M4_2_0,1,0.34,2,1,01-08-2016,null,null
M4_0_0,0,-3.48,1,1,01-12-2016,0.0,5.46
M4_1_0,0,0.58,3,1,01-12-2016,0.0,11.67
M4_2_0,0,0.45,4,1,01-12-2016,0.0,5.91
M4_0_0,3,-3.48,1,1,01-12-2016,null,null
M4_1_0,1,0.58,3,1,01-12-2016,null,null
M4_2_0,1,0.58,3,1,01-12-2016,null,null
M4_2_0,3,-3.48,1,1,01-12-2016,null,null
M4_1_0,0,-2.83,2,1,01-13-2016,0.0,null
M4_2_0,0,-2.83,2,1,01-13-2016,0.0,null
M4_1_0,1,-2.83,2,1,01-13-2016,null,null
M4_2_0,1,-2.83,2,1,01-13-2016,null,null
M4_0_0,0,-4.36,1,1,01-14-2016,0.0,null
M4_1_0,0,2.57,4,1,01-14-2016,9.85,0.43
M4_2_0,0,2.37,5,1,01-14-2016,4.92,0.43
M4_0_0,3,-4.36,1,1,01-14-2016,null,null
M4_1_0,1,2.57,4,1,01-14-2016,null,null
M4_2_0,1,2.57,4,1,01-14-2016,null,null
M4_2_0,3,-4.36,1,1,01-14-2016,null,null
M4_1_0,0,-0.8,5,1,01-15-2016,0.14,1.72
M4_2_0,0,-0.8,5,1,01-15-2016,0.14,1.72
M4_1_0,1,-0.8,5,1,01-15-2016,null,null
M4_2_0,1,-0.8,5,1,01-15-2016,null,null
M4_1_0,0,-1.2,1,1,01-18-2016,0.0,0.15
M4_2_0,0,-1.2,1,1,01-18-2016,0.0,0.15
M4_1_0,1,-1.2,1,1,01-18-2016,null,null
M4_2_0,1,-1.2,1,1,01-18-2016,null,null
M4_1_0,0,0.03,2,1,01-20-2016,0.0,0.12
M4_2_0,0,0.03,2,1,01-20-2016,0.0,0.12
M4_1_0,1,0.03,2,1,01-20-2016,null,null
M4_2_0,1,0.03,2,1,01-20-2016,null,null
M4_1_0,0,1.48,3,1,01-21-2016,0.0,null
M4_2_0,0,1.48,3,1,01-21-2016,0.0,null
M4_1_0,1,1.48,3,1,01-21-2016,null,null
M4_2_0,1,1.48,3,1,01-21-2016,null,null
M4_1_0,0,-3.76,1,1,01-22-2016,0.0,null
M4_2_0,0,-3.76,1,1,01-22-2016,0.0,null
