rds_index,hourbin,ewt,count,daybin,date,rbt,speed
BX39_1_0,1,1.84,910,1,10-13-2015,null,null
BX39_1_0,2,2.32,1254,1,10-13-2015,null,null
BX39_1_0,3,1.87,661,1,10-13-2015,null,null
BX39_1_0,4,1.22,345,1,10-13-2015,null,null
BX39_2_0,1,1.51,2108,1,10-13-2015,null,null
BX39_2_0,2,1.86,2472,1,10-13-2015,null,null
BX39_2_0,3,1.85,1408,1,10-13-2015,null,null
BX39_2_0,4,1.13,758,1,10-13-2015,null,null
BX39_0_0,0,1.22,3533,1,10-14-2015,72.81,7.1575
BX39_1_0,0,1.47,2906,1,10-14-2015,77.65,6.5875
BX39_2_0,0,1.34,6439,1,10-14-2015,75.23,6.92
BX39_0_0,1,1.28,1135,1,10-14-2015,null,null
BX39_0_0,2,1.22,1371,1,10-14-2015,null,null
BX39_0_0,3,1.5,617,1,10-14-2015,null,null
BX39_0_0,4,0.71,410,1,10-14-2015,null,null
BX39_1_0,1,1.78,839,1,10-14-2015,null,null
BX39_1_0,2,1.93,1261,1,10-14-2015,null,null
BX39_1_0,3,0.53,589,1,10-14-2015,null,null
BX39_1_0,4,0.42,217,1,10-14-2015,null,null
BX39_2_0,1,1.51,1974,1,10-14-2015,null,null
BX39_2_0,2,1.57,2632,1,10-14-2015,null,null
BX39_2_0,3,1.02,1206,1,10-14-2015,null,null
BX39_2_0,4,0.61,627,1,10-14-2015,null,null
BX39_0_0,0,1.66,3488,1,10-15-2015,76.64,7.04
BX39_1_0,0,1.79,2830,1,10-15-2015,68.52,6.57
BX39_2_0,0,1.72,6318,1,10-15-2015,72.58,6.8475
BX39_0_0,1,1.13,1083,1,10-15-2015,null,null
BX39_0_0,2,2.14,1406,1,10-15-2015,null,null
BX39_0_0,3,1.84,584,1,10-15-2015,null,null
BX39_0_0,4,1.05,415,1,10-15-2015,null,null
BX39_1_0,1,2.4,661,1,10-15-2015,null,null
BX39_1_0,2,1.49,1226,1,10-15-2015,null,null
BX39_1_0,3,2.3,624,1,10-15-2015,null,null
BX39_1_0,4,0.98,319,1,10-15-2015,null,null
BX39_2_0,1,1.64,1744,1,10-15-2015,null,null
BX39_2_0,2,1.83,2632,1,10-15-2015,null,null
BX39_2_0,3,2.08,1208,1,10-15-2015,null,null
BX39_2_0,4,1.02,734,1,10-15-2015,null,null
BX39_0_0,0,1.75,3351,1,10-16-2015,79.46,7.0725
BX39_1_0,0,1.88,2926,1,10-16-2015,81.24,6.34
BX39_2_0,0,1.81,6277,1,10-16-2015,80.35,6.765
BX39_0_0,1,1.66,1046,1,10-16-2015,null,null
BX39_0_0,2,1.58,1264,1,10-16-2015,null,null
BX39_0_0,3,1.92,742,1,10-16-2015,null,null
BX39_0_0,4,2.17,299,1,10-16-2015,null,null
BX39_1_0,1,1.58,780,1,10-16-2015,null,null
BX39_1_0,2,2.56,1156,1,10-16-2015,null,null
BX39_1_0,3,1.49,650,1,10-16-2015,null,null
BX39_1_0,4,1.17,340,1,10-16-2015,null,null
BX39_2_0,1,1.62,1826,1,10-16-2015,null,null
BX39_2_0,2,2.06,2420,1,10-16-2015,null,null
BX39_2_0,3,1.72,1392,1,10-16-2015,null,null
BX39_2_0,4,1.61,639,1,10-16-2015,null,null
BX39_0_0,0,1.96,2349,2,10-17-2015,64.05,7.3275
BX39_1_0,0,2.13,2203,2,10-17-2015,70.91,6.595
BX39_2_0,0,2.04,4552,2,10-17-2015,67.48,7.01
BX39_0_0,1,2.38,460,2,10-17-2015,null,null
